"Id","SalePrice"
1461,113964.41614841
1462,151228.477360221
1463,157429.784141806
1464,175957.678480367
1465,198932.888369671
1466,173820.561719571
1467,163874.680857566
1468,166182.08274413
1469,181859.766308584
1470,100415.109208513
1471,182491.262481694
1472,112998.137134509
1473,104536.278366962
1474,138676.375527651
1475,127341.946635186
1476,365848.950069417
1477,253007.920036169
1478,292320.119433708
1479,270299.678267306
1480,398498.398500228
1481,280529.843418118
1482,211203.887748586
1483,189774.937485983
1484,171450.156446867
1485,199689.812497482
1486,219961.74568612
1487,294167.319484683
1488,250753.58996458
1489,200788.168308822
1490,191713.972565694
1491,218965.050329056
1492,94483.7950058076
1493,180383.055189757
1494,280675.837001574
1495,272310.36791432
1496,191820.654652885
1497,192214.143972531
1498,167245.176880611
1499,167077.877320067
1500,150098.702288605
1501,161948.038636899
1502,159388.134928955
1503,239981.107794873
1504,251535.007486049
1505,214253.228059523
1506,177341.471608872
1507,205741.307417893
1508,186837.581065217
1509,161423.346380036
1510,128891.64908353
1511,128052.934283916
1512,145055.035763327
1513,161248.639546661
1514,159589.514399173
1515,207989.59915765
1516,154511.039819624
1517,155118.866726013
1518,132351.96538464
1519,216239.373114855
1520,121756.326971231
1521,125801.022549321
1522,157900.540004255
1523,110962.196287035
1524,120496.907971087
1525,112425.92973738
1526,98327.7095316663
1527,114255.792059899
1528,162172.525031286
1529,124991.612875324
1530,165458.422088456
1531,124086.855672439
1532,109655.816317991
1533,131903.553744094
1534,159638.499264793
1535,160193.772197859
1536,125152.769353803
1537,61916.5569555391
1538,244275.541494043
1539,290295.09698795
1540,116840.845686114
1541,165842.014248767
1542,148266.906717353
1543,218235.033745368
1544,89783.8864766215
1545,131664.078043242
1546,129307.151921388
1547,127875.38055611
1548,144319.660337141
1549,123096.149772443
1550,131300.589529859
1551,127720.892734521
1552,107059.065776712
1553,189213.354932597
1554,151738.970213015
1555,149208.791935777
1556,116360.66001315
1557,82763.6493530357
1558,117611.76334132
1559,115554.273675003
1560,118901.087863808
1561,104089.492893069
1562,129917.401424063
1563,111291.955346275
1564,128727.77804362
1565,129993.220711562
1566,220043.20187806
1567,87221.9632529747
1568,191387.99357943
1569,122517.784353799
1570,150950.056961108
1571,127495.668194588
1572,142183.499685878
1573,222516.61176106
1574,116284.997789909
1575,205098.458266452
1576,199198.286897764
1577,199574.345149182
1578,175517.433741816
1579,116452.867649896
1580,199370.663813581
1581,148962.243356377
1582,114611.398645654
1583,274038.547464844
1584,235862.976504869
1585,132150.245668785
1586,84983.0164952547
1587,112121.904743339
1588,130061.538906948
1589,102826.101733583
1590,133679.482858427
1591,99662.7497252424
1592,144966.307823723
1593,119092.134689729
1594,152175.825809799
1595,129830.167024649
1596,228910.918667194
1597,168701.500973772
1598,209679.924581471
1599,179811.094211832
1600,191329.958249488
1601,60414.0902740248
1602,138065.373827645
1603,76732.5302544343
1604,224333.068732367
1605,258624.906788801
1606,150080.161080267
1607,179862.81066587
1608,210728.112895308
1609,200988.955641543
1610,151291.323838444
1611,137511.19528179
1612,156256.207154973
1613,150798.051457233
1614,104929.347759912
1615,95009.5650084021
1616,91337.8548466912
1617,94410.1453202753
1618,123570.243267003
1619,120364.280524652
1620,84055.3348549972
1621,135225.876254471
1622,138865.846032518
1623,254665.675485703
1624,194383.454178073
1625,124742.268167178
1626,161356.996467053
1627,173383.476209607
1628,280593.948207365
1629,191019.659785504
1630,270966.364859351
1631,198355.332616108
1632,229558.261268403
1633,194725.975043095
1634,188266.2925051
1635,167358.157670113
1636,155976.324736694
1637,160017.608683324
1638,209765.09242989
1639,180775.437989118
1640,245235.96185096
1641,186279.603083051
1642,225817.97548485
1643,253527.49251468
1644,251389.770586882
1645,154709.523504649
1646,147568.04496174
1647,169647.378305495
1648,127187.450123588
1649,125309.269021307
1650,100395.928462776
