"","x"
"1",11.6399547446952
"2",11.9855793163498
"3",12.1405476249411
"4",12.2156867275211
"5",12.1790004257428
"6",12.1292218795374
"7",12.160824628994
"8",12.0487730186567
"9",12.1188646313513
"10",11.6008840175979
"11",12.1505870747071
"12",11.5315612122731
"13",11.6251889872317
"14",11.9765844111453
"15",11.6667305675506
"16",12.5515705597851
"17",12.3488778953308
"18",12.4109383599872
"19",12.4762151800192
"20",12.9403546765179
"21",12.4721413048923
"22",12.2186519484004
"23",12.1805240299742
"24",12.0524992341107
"25",12.1356637066317
"26",12.2433470880762
"27",12.5344199126006
"28",12.3529838274163
"29",12.1292319584191
"30",12.2761405276692
"31",12.2029318619191
"32",11.4033355541437
"33",12.1739368830457
"34",12.4535408496046
"35",12.3968167705194
"36",12.2821752101695
"37",12.2145814032285
"38",11.9029656080316
"39",11.9029656080316
"40",11.9368384575131
"41",12.0910135976723
"42",11.7988907964486
"43",12.300525246182
"44",12.2768600109368
"45",12.2716661275089
"46",12.3158199608563
"47",12.5093853625265
"48",12.1695556250626
"49",12.0876150098482
"50",11.8844067098496
"51",11.8669535874997
"52",12.1383188504739
"53",12.1129142044851
"54",12.2307233105451
"55",12.4345348181333
"56",11.9074950764314
"57",12.0710359625334
"58",12.0528046912819
"59",12.2706849386893
"60",11.7694798084985
"61",11.8191689987487
"62",12.0693303038304
"63",11.7535196835234
"64",11.8235955503695
"65",11.6763696938774
"66",11.628018712403
"67",11.5442205350437
"68",11.8686518251226
"69",11.8845141945757
"70",12.145919533803
"71",11.6874082503727
"72",11.496963860773
"73",12.0182296300395
"74",11.7409176315846
"75",12.0526843294787
"76",11.536542387682
"77",10.9925511796096
"78",11.8056050912311
"79",12.0596514435615
"80",11.7108930573444
"81",11.748025361531
"82",11.9707279073576
"83",12.1198469634737
"84",11.3426157906679
"85",11.6548422542934
"86",11.6293090469333
"87",11.8225727617873
"88",11.9206346278985
"89",11.5568459156445
"90",11.6890936041401
"91",11.4727089428703
"92",11.8423182762316
"93",11.8210470499265
"94",11.7211173818512
"95",12.0994153466129
"96",11.2524005152864
"97",11.4414858662195
"98",11.2460785986775
"99",11.382576092174
"100",11.8080619721614
"101",12.0684435630953
"102",11.7512640602242
"103",11.5687926236484
"104",12.0821456717925
"105",11.8618923889746
"106",12.3919922121665
"107",11.0957566939737
"108",12.2967268990417
"109",11.7016867801127
"110",11.8192637671379
"111",11.8472128593325
"112",11.9261253461154
"113",12.3510184702316
"114",11.7298225823607
"115",12.2592761014353
"116",12.3739611465231
"117",12.1387661055436
"118",11.6864972108682
"119",11.8725280591456
"120",12.1756894248762
"121",12.0353208753405
"122",11.690522382073
"123",12.5393024565156
"124",12.374874421892
"125",11.7788996102591
"126",11.2243763149744
"127",11.688734724488
"128",12.0513531576488
"129",11.5375217530934
"130",11.8448268930524
"131",11.7156398031863
"132",11.6611060645172
"133",11.4547098989544
"134",12.4552393838185
"135",11.5459290839097
"136",12.1716141171379
"137",12.186681583498
"138",12.3243002831099
"139",12.0688032985638
"140",12.0927644828185
"141",10.9580729450744
"142",11.4655189324592
"143",11.3567173411
"144",12.4898820808086
"145",12.2973309104426
"146",12.0641359012685
"147",12.3720839291672
"148",12.2152793761705
"149",12.1261854875052
"150",12.0873827369953
"151",11.8453811259976
"152",12.2453538240482
"153",12.1554232544838
"154",11.8656896407451
"155",11.7846208047525
"156",11.5357265814847
"157",11.7146513929787
"158",11.7648725974167
"159",11.8048448933631
"160",12.1368445274874
"161",11.8979052826386
"162",11.9074806412186
"163",12.3950324211864
"164",12.2054583747682
"165",11.5099167123895
"166",12.0530108310335
"167",12.1285309887766
"168",12.4921235089607
"169",12.240777561316
"170",12.770817333319
"171",12.2369442469573
"172",12.3653916496083
"173",12.1020543742667
"174",12.1510164345862
"175",12.0544744442342
"176",12.0037305316612
"177",12.2525046393161
"178",12.3129486030019
"179",12.3036214262676
"180",12.6546670769594
"181",12.2403972475998
"182",12.3142209479973
"183",12.2897991168306
"184",12.2711246258628
"185",12.338958375473
"186",11.9037800716564
"187",11.8891044020107
"188",11.8704587018231
"189",11.934784425723
"190",11.6647526940531
"191",11.7542150998001
"192",11.5445565415886
"193",11.6210236180201
"194",11.9568618589246
"195",11.7752553447622
"196",11.9066149993715
"197",11.9698571882401
"198",11.9131126640293
"199",11.6732282322083
"200",11.9620669256888
"201",12.6738656574248
"202",12.6830412851897
"203",12.5912498776309
"204",12.8445102413997
"205",12.4509288710526
"206",12.4491589281657
"207",12.6095863067623
"208",12.4546557425717
"209",12.3215541931143
"210",12.4885644644579
"211",12.4311564407429
"212",12.7382508616738
"213",12.5144198771277
"214",12.3658466464953
"215",12.2040064922805
"216",12.1678468177274
"217",12.217001821596
"218",12.8739813953432
"219",12.6378155573586
"220",12.5266985624457
"221",12.2880318949211
"222",12.3990499650567
"223",12.2225219384027
"224",12.0885496097883
"225",12.1099275413063
"226",12.1047607854821
"227",12.1356637066317
"228",12.1865996275617
"229",12.1659160460404
"230",12.0963104420294
"231",12.0000454313462
"232",12.3649097380607
"233",12.1356637066317
"234",12.0922378229962
"235",12.1401725096511
"236",12.4778229569498
